Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,SEVERITY
29337,28330,1995,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",14-DEC-95,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,6,9,1
29338,28331,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",26-MAR-95,1,5,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
29339,28332,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",24-MAR-95,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,26,0,0
29340,28333,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",22-MAR-95,12,2,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
29341,28334,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",04-JUN-95,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
29342,28335,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",04-SEP-95,2,5,1,Aggravated Assault,1.0,Field/Woods,6,7,1
29343,28336,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",08-SEP-95,0,4,1,Simple Assault,1.0,Parking/Drop Lot/Garage,40,7,1
29344,28337,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",20-SEP-95,3,2,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
29345,28338,1995,95,NC,North Carolina,"MSA counties from 25,000 thru 99,999",28-FEB-95,1,2,1,Simple Assault,1.0,School/College,40,7,1
29346,28339,1995,95,NC,North Carolina,"MSA counties from 25,000 thru 99,999",06-MAY-95,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
29347,28340,1995,95,NC,North Carolina,"MSA counties from 25,000 thru 99,999",02-JUN-95,1,5,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,School/College,6,9,1
29348,28341,1995,95,NC,North Carolina,"MSA counties from 25,000 thru 99,999",22-AUG-95,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,16,0
29349,28342,1995,95,NC,North Carolina,"MSA counties from 25,000 thru 99,999",13-SEP-95,2,4,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,16,7,1
29350,28343,1995,93,NC,North Carolina,"Cities from 100,000 thru 249,999",04-APR-95,1,5,1,Intimidation,1.0,Residence/Home,6,7,1
29351,28344,1995,93,NC,North Carolina,"Cities from 100,000 thru 249,999",23-OCT-95,3,2,2,Aggravated Assault;Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,16,9,1
29352,28352,1995,104,NC,North Carolina,"Cities from 50,000 thru 99,999",05-JUL-95,1,2,1,Simple Assault,1.0,Restaurant,40,7,1
29353,28353,1995,104,NC,North Carolina,"Cities from 50,000 thru 99,999",19-OCT-95,1,5,1,Simple Assault,1.0,School/College,6,7,1
29354,28354,1995,97,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",25-OCT-95,2,3,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
29355,28355,1995,232,NC,North Carolina,"Cities under 2,500",01-OCT-95,1,4,1,Intimidation,1.0,School/College,2,7,1
29356,28356,1995,232,NC,North Carolina,"Cities under 2,500",16-OCT-95,1,5,1,Intimidation,1.0,School/College,6,7,1
29357,28357,1995,126,NC,North Carolina,"Cities from 2,500 thru 9,999",17-JUL-95,1,5,2,Intimidation,2.0,Grocery/Supermarket,6,7,1
29358,28358,1995,217,NC,North Carolina,"Cities under 2,500",12-NOV-95,0,4,1,Intimidation,1.0,Residence/Home,6,7,1
29359,28359,1995,197,NC,North Carolina,"Cities from 2,500 thru 9,999",22-APR-95,1,5,1,Simple Assault,1.0,Restaurant,6,7,1
29360,28360,1995,197,NC,North Carolina,"Cities from 2,500 thru 9,999",16-SEP-95,1,5,1,Simple Assault,1.0,Parking/Drop Lot/Garage,6,7,1
