BIAS_DESC
3095
1057
1050
820
418
316
241
208
196
164
152
130
114
87
66
45
44
43
37
36
30
17
16
14
11
11
10
6
6
6
5
4
3
3
2
2
2
2
2
1
1
1
1
1
1
1
1
1
1
1
1
