Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES
29327,28320,1995,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",24-OCT-95,1,White,3,Aggravated Assault,3.0,Restaurant,Anti-Black or African American,Individual
29328,28321,1995,Edgecombe,NC,North Carolina,"MSA counties from 10,000 thru 24,999",14-JAN-95,1,White,1,Intimidation,1.0,Field/Woods,Anti-Black or African American,Individual
29329,28322,1995,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",12-MAY-95,1,White,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual
29330,28323,1995,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",27-MAR-95,2,Black or African American,1,Aggravated Assault,1.0,Department/Discount Store,Anti-White,Individual
29331,28324,1995,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",20-APR-95,0,Unknown,2,Intimidation,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual
29332,28325,1995,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",21-JUL-95,1,White,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual
29333,28326,1995,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",20-OCT-95,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
29334,28327,1995,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",18-NOV-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Individual
29335,28328,1995,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",04-SEP-95,1,White,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual
29336,28329,1995,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",21-DEC-95,0,Unknown,3,Burglary/Breaking & Entering;Destruction/Damage/Vandalism of Property;Not Specified,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization
29337,28330,1995,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",14-DEC-95,0,Unknown,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual;Other
29338,28331,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",26-MAR-95,1,White,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29339,28332,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",24-MAR-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business
29340,28333,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",22-MAR-95,12,Black or African American,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
29341,28334,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",04-JUN-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
29342,28335,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",04-SEP-95,2,White,1,Aggravated Assault,1.0,Field/Woods,Anti-Black or African American,Individual
29343,28336,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",08-SEP-95,0,Unknown,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual
29344,28337,1995,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",20-SEP-95,3,Black or African American,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
29345,28338,1995,Guilford,NC,North Carolina,"MSA counties from 25,000 thru 99,999",28-FEB-95,1,Black or African American,1,Simple Assault,1.0,School/College,Anti-White,Individual
29346,28339,1995,Guilford,NC,North Carolina,"MSA counties from 25,000 thru 99,999",06-MAY-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
29347,28340,1995,Guilford,NC,North Carolina,"MSA counties from 25,000 thru 99,999",02-JUN-95,1,White,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,School/College,Anti-Black or African American,Individual;Other
29348,28341,1995,Guilford,NC,North Carolina,"MSA counties from 25,000 thru 99,999",22-AUG-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Society/Public
29349,28342,1995,Guilford,NC,North Carolina,"MSA counties from 25,000 thru 99,999",13-SEP-95,2,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual
29350,28343,1995,Greensboro,NC,North Carolina,"Cities from 100,000 thru 249,999",04-APR-95,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
29351,28344,1995,Greensboro,NC,North Carolina,"Cities from 100,000 thru 249,999",23-OCT-95,3,Black or African American,2,Aggravated Assault;Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual;Other
29352,28352,1995,High Point,NC,North Carolina,"Cities from 50,000 thru 99,999",05-JUL-95,1,Black or African American,1,Simple Assault,1.0,Restaurant,Anti-White,Individual
29353,28353,1995,High Point,NC,North Carolina,"Cities from 50,000 thru 99,999",19-OCT-95,1,White,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual
29354,28354,1995,Harnett,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",25-OCT-95,2,Multiple,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29355,28355,1995,Western Carolina University,NC,North Carolina,"Cities under 2,500",01-OCT-95,1,Unknown,1,Intimidation,1.0,School/College,Anti-Asian,Individual
29356,28356,1995,Western Carolina University,NC,North Carolina,"Cities under 2,500",16-OCT-95,1,White,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual
29357,28357,1995,Lincolnton,NC,North Carolina,"Cities from 2,500 thru 9,999",17-JUL-95,1,White,2,Intimidation,2.0,Grocery/Supermarket,Anti-Black or African American,Individual
29358,28358,1995,University of North Carolina:,NC,North Carolina,"Cities under 2,500",12-NOV-95,0,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
29359,28359,1995,Southern Pines,NC,North Carolina,"Cities from 2,500 thru 9,999",22-APR-95,1,White,1,Simple Assault,1.0,Restaurant,Anti-Black or African American,Individual
29360,28360,1995,Southern Pines,NC,North Carolina,"Cities from 2,500 thru 9,999",16-SEP-95,1,White,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
29361,28361,1995,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",14-FEB-95,1,White,2,Robbery;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29362,28362,1995,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",14-FEB-95,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29363,28363,1995,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",22-MAY-95,1,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual
29364,28364,1995,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",12-JUN-95,4,Black or African American,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
29365,28365,1995,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",09-JUL-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
29366,28366,1995,University of North Carolina:,NC,North Carolina,"Cities under 2,500",12-NOV-95,1,White,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
29367,28367,1995,Cary,NC,North Carolina,"Cities from 50,000 thru 99,999",18-MAY-95,1,White,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual
29368,28368,1995,Cary,NC,North Carolina,"Cities from 50,000 thru 99,999",14-AUG-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29369,28369,1995,Cary,NC,North Carolina,"Cities from 50,000 thru 99,999",27-SEP-95,2,White,3,Destruction/Damage/Vandalism of Property,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29370,28370,1995,Cary,NC,North Carolina,"Cities from 50,000 thru 99,999",20-OCT-95,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization
38116,36746,1996,Morganton,NC,North Carolina,"Cities from 10,000 thru 24,999",26-APR-96,4,Black or African American,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual
38117,36747,1996,Cabarrus,NC,North Carolina,"MSA counties from 25,000 thru 99,999",19-OCT-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization
38118,36748,1996,Cabarrus,NC,North Carolina,"MSA counties from 25,000 thru 99,999",30-DEC-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Society/Public
38119,36749,1996,Cabarrus,NC,North Carolina,"MSA counties from 25,000 thru 99,999",28-DEC-96,3,White,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization
38120,36750,1996,Durham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",31-MAR-96,0,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual
38121,36751,1996,Durham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",05-APR-96,1,White,2,Aggravated Assault;Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual
38122,36752,1996,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",09-MAR-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Government
38123,36753,1996,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",12-JUL-96,0,Unknown,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
38124,36754,1996,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",30-OCT-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
38125,36755,1996,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",21-APR-96,2,White,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
38126,36756,1996,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",27-JUN-96,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
38127,36757,1996,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",12-JUL-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization
38128,36758,1996,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",09-NOV-96,0,Unknown,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Individual;Religious Organization
38129,36759,1996,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",07-FEB-96,3,White,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
38130,36760,1996,Greensboro,NC,North Carolina,"Cities from 100,000 thru 249,999",06-NOV-96,1,White,1,Arson,0.0,Service/Gas Station,Anti-Black or African American,Business
38131,36761,1996,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",21-SEP-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Arab,Business
38132,36762,1996,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",20-OCT-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Arab,Business
38133,36763,1996,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",04-NOV-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
38134,36764,1996,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",04-NOV-96,0,Unknown,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual
38135,36784,1996,Western Carolina University,NC,North Carolina,"Cities under 2,500",24-APR-96,2,Black or African American,1,Simple Assault,1.0,School/College,Anti-White,Individual
38136,36785,1996,Johnston,NC,North Carolina,"MSA counties from 25,000 thru 99,999",26-JAN-96,0,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Black or African American,Individual
38137,36786,1996,Johnston,NC,North Carolina,"MSA counties from 25,000 thru 99,999",01-MAY-96,0,Unknown,2,Intimidation,2.0,Residence/Home,Anti-Other Religion,Individual
38138,36787,1996,Johnston,NC,North Carolina,"MSA counties from 25,000 thru 99,999",27-JUN-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual
38139,36788,1996,Lincoln,NC,North Carolina,"MSA counties from 25,000 thru 99,999",03-JUL-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
38140,36789,1996,Lincoln,NC,North Carolina,"MSA counties from 25,000 thru 99,999",19-JUL-96,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
38141,36790,1996,Southern Pines,NC,North Carolina,"Cities from 2,500 thru 9,999",19-JAN-96,3,Black or African American,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual
38142,36791,1996,Carolina Beach,NC,North Carolina,"Cities from 2,500 thru 9,999",24-FEB-96,1,White,1,Arson,1.0,Bar/Nightclub,Anti-Black or African American,Individual
38143,36792,1996,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",31-JUL-96,1,White,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual
38144,36793,1996,Ayden,NC,North Carolina,"Cities from 2,500 thru 9,999",31-OCT-96,1,Black or African American,2,Aggravated Assault;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
38145,36794,1996,East Carolina University,NC,North Carolina,"Cities under 2,500",25-OCT-96,1,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual
38146,36795,1996,East Carolina University,NC,North Carolina,"Cities under 2,500",18-FEB-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-Black or African American,Individual
38147,36796,1996,Cary,NC,North Carolina,"Cities from 50,000 thru 99,999",08-MAY-96,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Government
38148,36797,1996,Watauga,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",19-MAY-96,0,Unknown,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
38149,36798,1996,Wilkes,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",01-MAR-96,2,White,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual
46479,45209,1997,Buncombe,NC,North Carolina,"MSA counties 100,000 or over",22-JUN-97,2,White,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization
