Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES
7277,7474,1992,University of North Carolina:,NC,North Carolina,"Cities under 2,500",20-NOV-92,0,Unknown,1,Intimidation,1.0,Hotel/Motel/Etc.,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual
14709,14462,1993,North Carolina Central University,NC,North Carolina,"Cities under 2,500",24-FEB-93,7,Black or African American,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
14710,14463,1993,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",10-SEP-93,2,White,1,Aggravated Assault,1.0,Hotel/Motel/Etc.,Anti-Black or African American,Individual
14711,14464,1993,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",27-JAN-93,14,Black or African American,1,Aggravated Assault,1.0,School/College,Anti-White,Individual
14712,14465,1993,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",25-JUN-93,1,Black or African American,8,Aggravated Assault;Destruction/Damage/Vandalism of Property,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Government;Individual
14713,14466,1993,Harnett,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",08-JUL-93,4,Black or African American,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual
14714,14467,1993,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",31-MAR-93,1,White,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual
14715,14468,1993,Chapel Hill,NC,North Carolina,"Cities from 25,000 thru 49,999",14-NOV-93,2,Black or African American,4,Aggravated Assault;Simple Assault,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
14716,14469,1993,Raleigh,NC,North Carolina,"Cities from 100,000 thru 249,999",10-JAN-93,2,White,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,Individual
14717,14470,1993,Raleigh,NC,North Carolina,"Cities from 100,000 thru 249,999",12-NOV-93,1,White,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
14718,14471,1993,Raleigh,NC,North Carolina,"Cities from 100,000 thru 249,999",15-NOV-93,2,Black or African American,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
21154,21393,1994,Dare,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",12-MAR-94,0,Unknown,2,Intimidation,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual
21155,21394,1994,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",23-JUN-94,2,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
21156,21395,1994,Winston-Salem,NC,North Carolina,"Cities from 100,000 thru 249,999",30-JUL-94,4,Black or African American,1,Aggravated Assault,1.0,Service/Gas Station,Anti-White,Individual
21157,21396,1994,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",22-JUL-94,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Commercial/Office Building,Anti-Black or African American,Individual
21158,21397,1994,Greensboro,NC,North Carolina,"Cities from 100,000 thru 249,999",08-JAN-94,3,Black or African American,3,Aggravated Assault,3.0,Specialty Store,Anti-White,Individual
21159,21398,1994,Western Carolina University,NC,North Carolina,"Cities under 2,500",09-APR-94,1,White,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual
21160,21399,1994,Watauga,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",01-NOV-94,4,White,1,Arson,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization
29319,28312,1995,Taylorsville,NC,North Carolina,"Cities under 2,500",24-JUL-95,1,Black or African American,1,Destruction/Damage/Vandalism of Property,1.0,Grocery/Supermarket,Anti-White,Individual
29320,28313,1995,Washington,NC,North Carolina,"Cities from 2,500 thru 9,999",17-JUL-95,1,Black or African American,2,Simple Assault,2.0,Other/Unknown,Anti-White,Individual
29321,28314,1995,Concord,NC,North Carolina,"Cities from 25,000 thru 49,999",18-SEP-95,0,Unknown,2,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization
29322,28315,1995,Edenton,NC,North Carolina,"Cities from 2,500 thru 9,999",30-NOV-95,1,White,1,Intimidation,1.0,School/College,Anti-Jewish,Individual
29323,28316,1995,Fayetteville,NC,North Carolina,"Cities from 50,000 thru 99,999",07-DEC-95,3,White,2,Murder and Nonnegligent Manslaughter,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
29324,28317,1995,Kill Devil Hills,NC,North Carolina,"Cities from 2,500 thru 9,999",26-OCT-95,1,White,2,Intimidation,2.0,Residence/Home,Anti-Jewish,Individual
29325,28318,1995,Durham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",20-SEP-95,3,Black or African American,1,Simple Assault,1.0,School/College,Anti-White,Individual
29326,28319,1995,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",18-JUN-95,2,White,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual
