,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
32437,29301,1995,VTVSP1100,State Police:,Royalton,State Police,VT,Vermont,New England,Northeast,8B,"Non-MSA counties from 25,000 thru 99,999",13-MAR-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Other,S,S
41305,41046,1996,VTVSP0700,State Police:,St. Albans,State Police,VT,Vermont,New England,Northeast,9D,"MSA counties under 10,000",24-JAN-96,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual,S,S
41306,41047,1996,VTVSP0700,State Police:,St. Albans,State Police,VT,Vermont,New England,Northeast,9D,"MSA counties under 10,000",22-MAR-96,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
41307,37663,1996,VTVSP0800,State Police:,Derby,State Police,VT,Vermont,New England,Northeast,8D,"Non-MSA counties under 10,000",18-AUG-96,,,1,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
41308,41048,1996,VTVSP0900,State Police:,Shaftsbury,State Police,VT,Vermont,New England,Northeast,8C,"Non-MSA counties from 10,000 thru 24,999",05-JUL-96,,,1,,,White,,2,Intimidation;Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,M,S
49413,46067,1997,VT0040500,Colchester,,City,VT,Vermont,New England,Northeast,5,"Cities from 10,000 thru 24,999",15-MAY-97,,,0,,,Unknown,,1,Burglary/Breaking & Entering,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
49414,46065,1997,VTVSP0600,State Police:,New Haven,State Police,VT,Vermont,New England,Northeast,8B,"Non-MSA counties from 25,000 thru 99,999",22-MAY-97,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Other Religion,Individual,S,S
49415,46066,1997,VTVSP0700,State Police:,St. Albans,State Police,VT,Vermont,New England,Northeast,9D,"MSA counties under 10,000",17-AUG-97,,,1,,,White,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
57304,53944,1998,VT0030300,St. Johnsbury,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",12-AUG-98,,,1,,,White,,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
57305,56999,1998,VT0030300,St. Johnsbury,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",15-JUL-98,,,2,,,White,,3,Simple Assault,3.0,Bar/Nightclub,Anti-Hispanic or Latino,Individual,S,S
57306,53945,1998,VT0040300,South Burlington,,City,VT,Vermont,New England,Northeast,5,"Cities from 10,000 thru 24,999",20-FEB-98,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Jewish,Individual,S,S
57307,57000,1998,VT0041000,Williston,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",01-JUN-98,,,2,,,Black or African American,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
57308,57001,1998,VT0060100,St. Albans,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",06-MAY-98,,,3,,,White,,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
57309,53946,1998,VT0100100,Newport,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",19-AUG-98,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Lesbian (Female),Individual,S,S
